Manhattan,1905,2025,manhattan
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Marietta Pioneers,1908,1920,marietta
Marist,1982,2025,marist
Marquette,1917,2025,marquette
Marshall,1919,2025,marshall
Maryland,1924,2025,maryland
Maryland-Baltimore County,1987,2025,maryland-baltimore-county
Maryland-Eastern Shore,1974,2025,maryland-eastern-shore
Massachusetts,1926,2025,massachusetts
Massachusetts Institute of Technology Engineers,1909,1909,massachusetts-institute-of-technology
Massachusetts-Lowell,1906,2025,massachusetts-lowell
McNeese State,1974,2025,mcneese-state
Memphis,1956,2025,memphis
Mercer,1974,2025,mercer
Merchant Marine Mariners,1946,1947,merchant-marine-academy
Mercyhurst,2025,2025,mercyhurst
Merrimack,2020,2025,merrimack
Miami (FL),1949,2025,miami-fl
Miami (OH),1906,2025,miami-oh
Michigan,1918,2025,michigan
Michigan State,1899,2025,michigan-state
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Middle Tennessee,1959,2025,middle-tennessee
Millikin Big Blue,1910,1921,millikin
Millsaps Majors,1911,1921,millsaps
Milwaukee,1974,2025,milwaukee
Minnesota,1896,2025,minnesota
Minnesota A&M Aggies,1896,1903,minnesota-am
Mississippi,1909,2025,mississippi
Mississippi State,1909,2025,mississippi-state
Mississippi Valley State,1980,2025,mississippi-valley-state
Missouri,1907,2025,missouri
Missouri State,1983,2025,missouri-state
Monmouth,1984,2025,monmouth
Montana,1912,2025,montana
Montana State,1902,2025,montana-state
Morehead State,1956,2025,morehead-state
Morgan State,1985,2025,morgan-state
Morris Brown Wolverines,2002,2003,morris-brown
Mount St. Mary's,1989,2025,mount-st-marys
Mount Union Purple Raiders,1896,1932,mount-union
Muhlenberg Mules,1901,1963,muhlenberg
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Murray State,1954,2025,murray-state
Muskingum Fighting Muskies,1905,1927,muskingum
Navy,1908,2025,navy
NC State,1913,2025,north-carolina-state
Nebraska,1897,2025,nebraska
Nebraska Wesleyan Prairie Wolves,1906,1917,nebraska-wesleyan
Nevada,1913,2025,nevada
Nevada-Las Vegas,1970,2025,nevada-las-vegas
New Hampshire,1927,2025,new-hampshire
New Mexico,1900,2025,new-mexico
New Mexico State,1905,2025,new-mexico-state
New Orleans,1976,2025,new-orleans
New York University Violets,1907,1971,new-york-university
Newberry Wolves,1921,1921,newberry
Niagara,1906,2025,niagara
Nicholls State,1981,2025,nicholls-state
NJIT,2010,2025,njit
Norfolk State,1998,2025,norfolk-state
North Alabama,2019,2025,north-alabama
North Carolina,1911,2025,north-carolina
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
North Carolina A&T,1974,2025,north-carolina-at
North Carolina Central,2011,2025,north-carolina-central
North Central (IL) Cardinals,1911,1922,north-central
North Dakota,1905,2025,north-dakota
North Dakota State,1898,2025,north-dakota-state
North Florida,2010,2025,north-florida
North Texas,1922,2025,north-texas
Northeastern,1938,2025,northeastern
Northeastern Illinois Golden Eagles,1991,1998,northeastern-illinois
Northern Arizona,1919,2025,northern-arizona
Northern Colorado,1911,2025,northern-colorado
Northern Illinois,1927,2025,northern-illinois
Northern Iowa,1981,2025,northern-iowa
Northern Kentucky,2013,2025,northern-kentucky
Northwest Missouri State Bearcats,1930,1932,northwest-missouri-state
Northwestern,1905,2025,northwestern
Northwestern State,1977,2025,northwestern-state
Notre Dame,1897,2025,notre-dame
Oakland,2000,2025,oakland
Oberlin Yeomen,1905,1921,oberlin
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Ohio,1908,2025,ohio
Ohio State,1899,2025,ohio-state
Ohio Wesleyan Battling Bishops,1929,1935,ohio-wesleyan
Oklahoma,1908,2025,oklahoma
Oklahoma City Chiefs,1951,1985,oklahoma-city
Oklahoma State,1908,2025,oklahoma-state
Old Dominion,1977,2025,old-dominion
Omaha,2013,2025,nebraska-omaha
Oral Roberts,1972,2025,oral-roberts
Oregon,1903,2025,oregon
Oregon State,1902,2025,oregon-state
Pacific,1938,2025,pacific
Penn State,1897,2025,penn-state
Pennsylvania,1897,2025,pennsylvania
Pepperdine,1944,2025,pepperdine
Phillips Haymakers,1920,1920,phillips
Pittsburg State Gorillas,1927,1931,pittsburg-state
Pittsburgh,1906,2025,pittsburgh
Portland,1954,2025,portland
Portland State,1973,2025,portland-state
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Prairie View,1981,2025,prairie-view
Pratt Institute Cannoneers,1934,1934,pratt-institute
Presbyterian,2011,2025,presbyterian
Princeton,1901,2025,princeton
Providence,1929,2025,providence
Purdue,1897,2025,purdue
Purdue Fort Wayne,2003,2025,ipfw
Queens (NC),2023,2025,queens-nc
Quinnipiac,1999,2025,quinnipiac
Radford,1985,2025,radford
Regis (CO) Rangers,1962,1964,regis-co
Rensselaer Engineers,1901,1924,rensselaer
Rhode Island,1904,2025,rhode-island
Rice,1915,2025,rice
Richmond,1913,2025,richmond
Rider,1929,2025,rider
Ripon Red Hawks,1902,1922,ripon
Roanoke Maroons,1912,1919,roanoke
Robert Morris,1977,2025,robert-morris
Rochester (NY) Yellowjackets,1910,1944,rochester-ny
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Rose-Hulman Fightin' Engineers,1898,1898,rose-hulman
Rutgers,1914,2025,rutgers
Sacramento State,1992,2025,sacramento-state
Sacred Heart,2000,2025,sacred-heart
Saint Francis (PA),1956,2025,saint-francis-pa
Saint Joseph's,1910,2025,saint-josephs
Saint Louis,1916,2025,saint-louis
Saint Mary's (CA),1910,2025,saint-marys-ca
Saint Peter's,1966,2025,saint-peters
Sam Houston,1987,2025,sam-houston-state
Samford,1973,2025,samford
San Diego,1980,2025,san-diego
San Diego State,1971,2025,san-diego-state
San Francisco,1924,2025,san-francisco
San Jose State,1938,2025,san-jose-state
Santa Clara,1909,2025,santa-clara
Savage School of Physical Education,1896,1898,savage-school-of-physical-education
Savannah State Tigers,2003,2019,savannah-state
Scranton Royals,1948,1948,scranton
Seattle,1953,2025,seattle
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Seton Hall,1909,2025,seton-hall
Sewanee Tigers,1923,1941,sewanee
Siena,1939,2025,siena
South Alabama,1972,2025,south-alabama
South Carolina,1909,2025,south-carolina
South Carolina State,1972,2025,south-carolina-state
South Carolina Upstate,2011,2025,south-carolina-upstate
South Dakota,2011,2025,south-dakota
South Dakota State,2009,2025,south-dakota-state
South Florida,1974,2025,south-florida
Southeast Missouri State,1992,2025,southeast-missouri-state
Southeastern Louisiana,1981,2025,southeastern-louisiana
Southern,1978,2025,southern
